C8	4186.01
B7	3951.07
a_7	3729.31
A7	3520.00
g_7	3322.44
G7	3135.96
f_7	2959.96
F7	2793.83
E7	2637.02
d_7	2489.02
D7	2349.32
c_7	2217.46
C7	2093.00
B6	1975.53
a_6	1864.66
A6	1760.00
g_6	1661.22
G6	1567.98
f_6	1479.98
F6	1396.91
E6	1318.51
d_6	1244.51
D6	1174.66
c_6	1108.73
C6	1046.50
B5	987.767
a_5	932.328
A5	880.000
g_5	830.609
G5	783.991
f_5	739.989
F5	698.456
E5	659.255
d_5	622.254
D5	587.330
c_5	554.365
C5	523.251
B4	493.883
a_4	466.164
A4	440.000
g_4	415.305
G4	391.995
f_4	369.994
F4	349.228
E4	329.628
d_4	311.127
D4	293.665
c_4	277.183
C4	261.626
B3	246.942
a_3	233.082
A3	220.000
g_3	207.652
G3	195.998
f_3	184.997
F3	174.614
E3	164.814
d_3	155.563
D3	146.832
c_3	138.591
C3	130.813
B2	123.471
a_2	116.541
A2	110.000
g_2	103.826
G2	97.9989
f_2	92.4986
F2	87.3071
E2	82.4069
d_2	77.7817
D2	73.4162
c_2	69.2957
C2	65.4064
B1	61.7354
a_1	58.2705
A1	55.0000
g_1	51.9131
G1	48.9994
f_1	46.2493
F1	43.6535
E1	41.2034
d_1	38.8909
D1	36.7081
c_1	34.6478
C1	32.7032
B0	30.8677
a_0	29.1352
A0	27.5000
